,hhmm_open,open,high,low,close,minutes,date
215,1235,25.0,25.0,25.0,25.0,1,20240117
216,1236,25.0,25.0,25.0,25.0,1,20240117
217,1237,25.0,25.0,25.0,25.0,1,20240117
218,1238,25.0,25.0,25.0,25.0,1,20240117
219,1239,25.0,25.0,25.0,25.0,1,20240117
220,1240,25.0,25.0,25.0,25.0,1,20240117
221,1241,25.0,25.0,25.0,25.0,1,20240117
222,1242,25.0,25.0,25.0,25.0,1,20240117
223,1243,25.0,25.0,25.0,25.0,1,20240117
224,1244,25.0,25.0,25.0,25.0,1,20240117
225,1245,25.0,25.0,25.0,25.0,1,20240117
226,1246,25.0,25.0,25.0,25.0,1,20240117
227,1247,25.0,25.0,25.0,25.0,1,20240117
228,1248,25.0,25.0,25.0,25.0,1,20240117
229,1249,25.0,25.0,25.0,25.0,1,20240117
230,1250,25.0,25.0,25.0,25.0,1,20240117
231,1251,25.0,25.0,25.0,25.0,1,20240117
232,1252,25.0,25.0,25.0,25.0,1,20240117
233,1253,25.0,25.0,25.0,25.0,1,20240117
234,1254,25.0,25.0,25.0,25.0,1,20240117
235,1255,25.0,25.0,25.0,25.0,1,20240117
236,1256,25.0,25.0,25.0,25.0,1,20240117
237,1257,25.0,25.0,25.0,25.0,1,20240117
238,1258,25.0,25.0,25.0,25.0,1,20240117
239,1259,25.0,25.0,25.0,25.0,1,20240117
240,1300,25.0,25.0,25.0,25.0,1,20240117
241,1301,25.0,25.0,25.0,25.0,1,20240117
242,1302,25.0,25.0,25.0,25.0,1,20240117
243,1303,25.0,25.0,25.0,25.0,1,20240117
244,1304,25.0,25.0,25.0,25.0,1,20240117
245,1305,25.0,25.0,25.0,25.0,1,20240117
246,1306,25.0,25.0,25.0,25.0,1,20240117
247,1307,25.0,25.0,25.0,25.0,1,20240117
248,1308,25.0,25.0,25.0,25.0,1,20240117
249,1309,25.0,25.0,25.0,25.0,1,20240117
250,1310,25.0,25.0,25.0,25.0,1,20240117
251,1311,25.0,25.0,25.0,25.0,1,20240117
252,1312,25.0,25.0,25.0,25.0,1,20240117
253,1313,25.0,25.0,25.0,25.0,1,20240117
254,1314,25.0,25.0,25.0,25.0,1,20240117
255,1315,25.0,25.0,25.0,25.0,1,20240117
256,1316,25.0,25.0,25.0,25.0,1,20240117
257,1317,25.0,25.0,25.0,25.0,1,20240117
258,1318,25.0,25.0,25.0,25.0,1,20240117
259,1319,25.0,25.0,25.0,25.0,1,20240117
260,1320,25.0,25.0,25.0,25.0,1,20240117
261,1321,25.0,25.0,25.0,25.0,1,20240117
262,1322,25.0,25.0,25.0,25.0,1,20240117
263,1323,25.0,25.0,25.0,25.0,1,20240117
264,1324,25.0,25.0,25.0,25.0,1,20240117
265,1325,25.0,25.0,25.0,25.0,1,20240117
266,1326,25.0,25.0,25.0,25.0,1,20240117
267,1327,25.0,25.0,25.0,25.0,1,20240117
268,1328,25.0,25.0,25.0,25.0,1,20240117
269,1329,25.0,25.0,25.0,25.0,1,20240117
270,1330,25.0,25.0,25.0,25.0,1,20240117
271,1331,25.0,25.0,25.0,25.0,1,20240117
272,1332,25.0,25.0,25.0,25.0,1,20240117
273,1333,25.0,25.0,25.0,25.0,1,20240117
274,1334,25.0,25.0,25.0,25.0,1,20240117
275,1335,25.0,25.0,25.0,25.0,1,20240117
276,1336,25.0,25.0,25.0,25.0,1,20240117
277,1337,25.0,25.0,25.0,25.0,1,20240117
278,1338,25.0,25.0,25.0,25.0,1,20240117
279,1339,25.0,25.0,25.0,25.0,1,20240117
280,1340,25.0,25.0,25.0,25.0,1,20240117
281,1341,25.0,25.0,25.0,25.0,1,20240117
282,1342,25.0,25.0,25.0,25.0,1,20240117
283,1343,25.0,25.0,25.0,25.0,1,20240117
284,1344,25.0,25.0,25.0,25.0,1,20240117
285,1345,25.0,25.0,25.0,25.0,1,20240117
286,1346,25.0,25.0,25.0,25.0,1,20240117
287,1347,25.0,25.0,25.0,25.0,1,20240117
288,1348,25.0,25.0,25.0,25.0,1,20240117
289,1349,25.0,25.0,25.0,25.0,1,20240117
290,1350,25.0,25.0,25.0,25.0,1,20240117
291,1351,25.0,25.0,25.0,25.0,1,20240117
292,1352,25.0,25.0,25.0,25.0,1,20240117
293,1353,25.0,25.0,25.0,25.0,1,20240117
294,1354,25.0,25.0,25.0,25.0,1,20240117
295,1355,25.0,25.0,25.0,25.0,1,20240117
296,1356,25.0,25.0,25.0,25.0,1,20240117
297,1357,25.0,25.0,25.0,25.0,1,20240117
298,1358,25.0,25.0,25.0,25.0,1,20240117
299,1359,25.0,25.0,25.0,25.0,1,20240117
300,1400,25.0,25.0,25.0,25.0,1,20240117
301,1401,25.0,25.0,25.0,25.0,1,20240117
302,1402,25.0,25.0,25.0,25.0,1,20240117
303,1403,25.0,25.0,25.0,25.0,1,20240117
304,1404,25.0,25.0,25.0,25.0,1,20240117
305,1405,25.0,25.0,25.0,25.0,1,20240117
306,1406,25.0,25.0,25.0,25.0,1,20240117
307,1407,25.0,25.0,25.0,25.0,1,20240117
308,1408,25.0,25.0,25.0,25.0,1,20240117
309,1409,25.0,25.0,25.0,25.0,1,20240117
310,1410,25.0,25.0,25.0,25.0,1,20240117
311,1411,25.0,25.0,25.0,25.0,1,20240117
312,1412,25.0,25.0,25.0,25.0,1,20240117
313,1413,25.0,25.0,25.0,25.0,1,20240117
314,1414,25.0,25.0,25.0,25.0,1,20240117
315,1415,25.0,25.0,25.0,25.0,1,20240117
316,1416,25.0,25.0,25.0,25.0,1,20240117
317,1417,25.0,25.0,25.0,25.0,1,20240117
318,1418,25.0,25.0,25.0,25.0,1,20240117
319,1419,25.0,25.0,25.0,25.0,1,20240117
320,1420,25.0,25.0,25.0,25.0,1,20240117
321,1421,25.0,25.0,25.0,25.0,1,20240117
322,1422,25.0,25.0,25.0,25.0,1,20240117
323,1423,25.0,25.0,25.0,25.0,1,20240117
324,1424,25.0,25.0,25.0,25.0,1,20240117
325,1425,25.0,25.0,25.0,25.0,1,20240117
326,1426,25.0,25.0,25.0,25.0,1,20240117
327,1427,25.0,25.0,25.0,25.0,1,20240117
328,1428,25.0,25.0,25.0,25.0,1,20240117
329,1429,25.0,25.0,25.0,25.0,1,20240117
